RPATH,B pedigree,P/B pedigree,Q/B pedigree,DC pedigree,,Biomass,PB,QB,Diet,Fleets
AmLobster,5,5,5,8,,0.5,0.5,0.5,0.8,
AmShad,8,5,5,4,,0.8,0.5,0.5,0.4,
AtlCroaker,2,5,5,8,,0.2,0.5,0.5,0.8,
AtlMackerel,8,8,8,4,,0.8,0.8,0.8,0.4,
AtlScallop,8,5,5,8,,0.8,0.5,0.5,0.8,
Bacteria,7,8,8,8,,0.7,0.8,0.8,0.8,
BaleenWhales,5,7,8,8,,0.5,0.7,0.8,0.8,
BlackSeaBass,8,6,6,4,,0.8,0.6,0.6,0.4,
Bluefish,8,8,5,8,,0.8,0.8,0.5,0.8,
Butterfish,2,5,5,8,,0.2,0.5,0.5,0.8,
Cod,8,5,5,8,,0.8,0.5,0.5,0.8,
Fourspot,8,6,6,8,,0.8,0.6,0.6,0.8,
GelZooplankton,8,8,8,8,,0.8,0.8,0.8,0.8,
Goosefish,8,6,6,8,,0.8,0.6,0.6,0.8,
HMS,8,8,8,8,,0.8,0.8,0.8,0.8,
Illex,2,5,5,4,,0.2,0.5,0.5,0.4,
LgCopepods,8,6,7,8,,0.8,0.6,0.7,0.8,
LittleSkate,2,6,6,8,,0.2,0.6,0.6,0.8,
Loligo,2,5,5,8,,0.2,0.5,0.5,0.8,
Macrobenthos,8,5,5,8,,0.8,0.5,0.5,0.8,
Megabenthos,8,8,8,8,,0.8,0.8,0.8,0.8,
Mesopelagics,8,8,8,8,,0.8,0.8,0.8,0.8,
Micronekton,8,8,8,8,,0.8,0.8,0.8,0.8,
Microzooplankton,8,8,8,8,,0.8,0.8,0.8,0.8,
OceanPout,8,6,6,4,,0.8,0.6,0.6,0.4,
Odontocetes,8,7,8,8,,0.8,0.7,0.8,0.8,
OtherCephalopods,8,8,8,8,,0.8,0.8,0.8,0.8,
OtherDemersals,8,8,8,8,,0.8,0.8,0.8,0.8,
OtherPelagics,8,8,8,8,,0.8,0.8,0.8,0.8,
OtherShrimps,8,6,8,8,,0.8,0.6,0.8,0.8,
OtherSkates,8,8,8,8,,0.8,0.8,0.8,0.8,
Phytoplankton,5,2,0,0,,0.5,0.2,0,0,
RedHake,2,8,5,8,,0.2,0.8,0.5,0.8,
Scup,8,6,6,4,,0.8,0.6,0.6,0.4,
SeaBirds,8,7,8,8,,0.8,0.7,0.8,0.8,
Sharks,8,7,7,8,,0.8,0.7,0.7,0.8,
SilverHake,8,8,6,8,,0.8,0.8,0.6,0.8,
SmCopepods,5,6,7,8,,0.5,0.6,0.7,0.8,
SmFlatfishes,8,8,8,8,,0.8,0.8,0.8,0.8,
SmoothDogfish,2,8,6,4,,0.2,0.8,0.6,0.4,
SmPelagics,8,8,8,8,,0.8,0.8,0.8,0.8,
SouthernDemersals,8,8,8,8,,0.8,0.8,0.8,0.8,
SpinyDogfish,8,5,5,8,,0.8,0.5,0.5,0.8,
SummerFlounder,8,4,4,8,,0.8,0.4,0.4,0.8,
Weakfish,8,5,5,8,,0.8,0.5,0.5,0.8,
Windowpane,8,6,5,8,,0.8,0.6,0.5,0.8,
WinterFlounder,8,6,6,4,,0.8,0.6,0.6,0.4,
WinterSkate,8,6,6,8,,0.8,0.6,0.6,0.8,
YTFlounder,2,5,5,4,,0.2,0.5,0.5,0.4,
Detritus,8,8,8,8,,0.8,0.8,0.8,0.8,
